pregunta,opciones,respuesta
¿En qué año ocurrió la partición de India?,"['1947', '1858', '1971', '1998']",1947
¿Qué evento marcó el comienzo del Imperio Mughal en India?,"['Batalla de Panipat', 'Llegada de Vasco da Gama', 'Establecimiento del Raj británico', 'Pruebas nucleares en Pokhran']",Batalla de Panipat
¿Quién lideró la batalla de los Diez Reyes según el registro védico?,"['Ashoka', 'Sudas', 'Babur', 'Vajpayee']",Sudas
¿Qué evento llevó a la independencia de Bangladesh?,"['Guerra Indo-Pakistaní de 1971', 'Partición de India', 'Rebelión de 1857', 'Pruebas nucleares de 1998']",Guerra Indo-Pakistaní de 1971
¿Quién es reconocido por iniciar la exploración europea en la India?,"['Cristóbal Colón', 'Vasco da Gama', 'Marco Polo', 'Alexander the Great']",Vasco da Gama
¿En qué año se firmó la Declaración de Independencia de los Estados Unidos?,"['1776', '1492', '1812', '1620']",1776
¿Quién fue el líder del Imperio Mongol?,"['Genghis Khan', 'Kublai Khan', 'Tamerlán', 'Marco Polo']",Genghis Khan
¿En qué año comenzó la Segunda Guerra Mundial?,"['1939', '1914', '1945', '1920']",1939
¿Cuál fue la capital del Imperio Romano?,"['Roma', 'Atenas', 'Constantinopla', 'Cartago']",Roma
¿Qué civilización construyó las pirámides de Giza?,"['Egipcia', 'Maya', 'China', 'Mesopotámica']",Egipcia
¿Quién descubrió América en 1492?,"['Cristóbal Colón', 'Américo Vespucio', 'Marco Polo', 'Hernán Cortés']",Cristóbal Colón
¿Qué muro separó Berlín durante la Guerra Fría?,"['Muro de Berlín', 'Muro de Hierro', 'Telón de Acero', 'Muralla Roja']",Muro de Berlín
¿Qué imperio cayó en 1453 con la toma de Constantinopla?,"['Imperio Bizantino', 'Imperio Romano', 'Imperio Otomano', 'Imperio Carolingio']",Imperio Bizantino
¿Qué evento inició la Primera Guerra Mundial?,"['Asesinato del archiduque Francisco Fernando', 'Invasión de Polonia', 'Ataque a Pearl Harbor', 'Revolución Rusa']",Asesinato del archiduque Francisco Fernando
¿Qué documento limitó el poder del rey en Inglaterra en 1215?,"['Carta Magna', 'Bill of Rights', 'Constitución', 'Tratado de Versalles']",Carta Magna
